# One-at-a-time Yokoya sensitivity + solver rows (validation/lambda_round_converged.jl with
# OCTOPUS_LFC_{GRID,OFFSET,TURNS,SOLVER}; Octopus paper-cpc worktree, 2026-08-12; seeds 20260727-29).
# Machine-reproducible replacement for the submitted single-run values.
variant	seed	Lambda_x	Lambda_y
grid256	20260727	1.2030153311339276	1.2097973625343592
grid256	20260728	1.203239292457381	1.208405455901351
grid256	20260729	1.1991488032469078	1.2090698288490962
offset025	20260727	1.2061257650099244	1.2119659828352167
offset025	20260728	1.2044281258030032	1.2139824976930111
offset025	20260729	1.202327482524379	1.2103576970185268
turns16384	20260727	1.1979207087723487	1.202352756985625
turns16384	20260728	1.1981117185368872	1.2029610207349715
turns16384	20260729	1.1951034612906586	1.203698669494113
soft	20260727	1.0963311607363968	1.1009626948928595
soft	20260728	1.0959837234137848	1.0992143498089966
soft	20260729	1.0949152992463684	1.1004410829808184
hybrid	20260727	1.1998773584646183	1.2070473386122547
hybrid	20260728	1.2000420069555484	1.2056845605316278
hybrid	20260729	1.1952085516282684	1.2063427324915053
