# Widening the particle solver's periodic box at fixed dx = L/ngrid.
# Demonstrates the m=1-vs-exact difference is a box artifact, not truncation.
aspect_ratio	L	ngrid	Y_1d_sim	Y_m1_matrix	spread_percent
0.2	24.0	4096	1.2462120240028463	1.2604416636829985	1.141831358234402
0.2	48.0	8192	1.2525835129482688	1.2604416636829985	0.6273554340687104
0.2	96.0	16384	1.254284483913115	1.2604416636829985	0.490891807150029
0.2	192.0	32768	1.254816662192082	1.2604416636829985	0.4482727764460792
0.5	24.0	4096	1.1899158488831774	1.2060073664047155	1.352323993048854
0.5	48.0	8192	1.200603183853527	1.2060073664047155	0.4501222905175961
0.5	96.0	16384	1.2027235933868563	1.2060073664047155	0.27302807028273257
0.5	192.0	32768	1.2033230488934121	1.2060073664047155	0.22307538393551152
1.0	24.0	4096	1.142738195771792	1.1619505954745812	1.68125995734425
1.0	48.0	8192	1.1557883061518337	1.1619505954745812	0.5331676475655467
1.0	96.0	16384	1.1594152915155365	1.1619505954745812	0.21867090917273568
1.0	192.0	32768	1.160507877485789	1.1619505954745812	0.12431781091548633
11.111	24.0	4096	1.0011939455678187	1.082355199122631	8.106446699373748
11.111	48.0	8192	1.0570781222216996	1.082355199122631	2.39122127017497
11.111	96.0	16384	1.078169455900102	1.082355199122631	0.38822684130246365
11.111	192.0	32768	1.0826357152895039	1.082355199122631	0.02591048520858008
50.0	24.0	4096	0.9538647548397949	1.0732540001929136	12.516370349921413
50.0	48.0	8192	1.0235776986260714	1.0732540001929136	4.853202803609502
50.0	96.0	16384	1.0552938032189207	1.0732540001929136	1.7019143786507263
50.0	192.0	32768	1.0711002025571181	1.0732540001929136	0.20108274003249882
